"Date/Time","Lat","Lon","Base"
"4/1/2014 0:11:00",40.769,-73.9549,"B02512"
"4/1/2014 0:17:00",40.7267,-74.0345,"B02511"
"4/1/2014 0:21:00",40.7316,-73.9873,"B02502"
"4/1/2014 0:28:00",40.7588,-73.9776,"B02513"
"4/1/2014 0:33:00",40.7594,-73.9722,"B02512"
"4/1/2014 0:33:00",40.7383,-74.0403,"B02517"
"4/1/2014 0:39:00",40.7223,-73.9887,"B02516"
"4/1/2014 0:45:00",40.762,-73.979,"B02511"
"4/1/2014 0:55:00",40.7524,-73.996,"B02514"
"4/1/2014 1:01:00",40.7575,-73.9846,"B02511"
"4/1/2014 1:19:00",40.7256,-73.9869,"B02515"
"4/1/2014 1:48:00",40.7591,-73.9684,"B02518"
"4/1/2014 1:49:00",40.7271,-73.9803,"B02518"
"4/1/2014 2:11:00",40.6463,-73.7896,"B02519"
"4/1/2014 2:25:00",40.7564,-73.9167,"B02513"
"4/1/2014 2:31:00",40.7666,-73.9531,"B02517"
"4/1/2014 2:43:00",40.758,-73.9761,"B02514"
"4/1/2014 3:22:00",40.7238,-73.9821,"B02511"
"4/1/2014 3:35:00",40.7531,-74.0039,"B02515"
"4/1/2014 3:35:00",40.7389,-74.0393,"B02512"
"4/1/2014 3:41:00",40.7619,-73.9715,"B02524"
"4/1/2014 4:11:00",40.753,-74.0042,"B02512"
"4/1/2014 4:15:00",40.6561,-73.9531,"B02525"
"4/1/2014 4:19:00",40.725,-73.9844,"B02532"
"4/1/2014 4:20:00",40.695,-74.1783,"B02542"
"4/1/2014 4:26:00",40.9859,-74.1578,"B02522"
"4/1/2014 4:27:00",40.6879,-74.1814,"B02532"
